step_time,reward,total_stopped,total_wait_time,gneJ00_passed,gneJ9_passed
2321.0,0,9,546.0,898,837
2325.0,0,10,507.0,899,840
2329.0,0,12,443.0,902,842
2333.0,0,12,345.0,902,843
2337.0,0,11,299.0,904,846
2341.0,0,14,328.0,907,848
2345.0,0,16,389.0,909,849
2349.0,0,17,454.0,909,851
2353.0,0,18,524.0,909,853
2357.0,0,19,603.0,909,855
2361.0,0,23,692.0,909,855
2365.0,0,24,688.0,910,855
2369.0,0,28,798.0,911,855
2373.0,0,29,782.0,912,855
2377.0,0,28,822.0,912,859
2381.0,0,28,842.0,912,861
2385.0,0,27,865.0,916,861
2389.0,0,25,819.0,918,861
2393.0,0,21,853.0,921,861
2397.0,0,26,827.0,923,862
2401.0,0,22,800.0,926,863
2405.0,0,22,781.0,929,865
2409.0,0,22,853.0,931,866
2413.0,0,24,889.0,935,867
2417.0,0,21,862.0,938,867
2421.0,0,16,815.0,940,869
2425.0,0,12,775.0,942,872
2429.0,0,13,710.0,943,874
2433.0,0,15,694.0,945,877
2437.0,0,9,527.0,945,880
2441.0,0,11,494.0,947,883
2445.0,0,13,492.0,949,885
2449.0,0,13,459.0,949,887
2453.0,0,9,290.0,950,889
2457.0,0,10,251.0,952,891
2461.0,0,13,270.0,954,892
2465.0,0,15,325.0,956,894
2469.0,0,18,390.0,956,896
2473.0,0,21,469.0,957,898
2477.0,0,25,564.0,957,899
2481.0,0,26,631.0,957,899
2485.0,0,28,734.0,958,899
2489.0,0,34,820.0,959,899
2493.0,0,35,851.0,959,900
2497.0,0,35,880.0,960,903
2501.0,0,29,910.0,964,904
2505.0,0,27,863.0,966,904
2509.0,0,25,894.0,968,905
2513.0,0,24,928.0,971,906
2517.0,0,26,974.0,973,906
2521.0,0,23,881.0,976,908
2525.0,0,24,884.0,978,911
2529.0,0,25,962.0,980,911
2533.0,0,26,1048.0,983,911
2537.0,0,20,927.0,985,913
2541.0,0,16,851.0,986,915
2545.0,0,12,843.0,988,917
2549.0,0,11,728.0,989,920
2553.0,0,8,637.0,990,923
2557.0,0,9,442.0,993,926
2561.0,0,9,394.0,994,929
2565.0,0,10,388.0,995,931
2569.0,0,7,283.0,995,935
2573.0,0,7,245.0,997,937
2577.0,0,9,233.0,999,938
2581.0,0,13,275.0,1000,941
2585.0,0,15,334.0,1002,941
2589.0,0,19,402.0,1002,942
2593.0,0,22,485.0,1002,943
2597.0,0,24,517.0,1002,943
2601.0,0,25,611.0,1003,943
2605.0,0,28,720.0,1004,943
2609.0,0,30,727.0,1004,943
2613.0,0,32,703.0,1004,945
2617.0,0,27,726.0,1006,949
2621.0,0,30,751.0,1008,949
2625.0,0,28,766.0,1011,949
2629.0,0,26,802.0,1014,949
2633.0,0,25,804.0,1017,950
2637.0,0,23,836.0,1020,950
2641.0,0,24,836.0,1023,952
2645.0,0,24,909.0,1026,954
2649.0,0,24,962.0,1029,954
2653.0,0,21,935.0,1031,954
2657.0,0,17,914.0,1033,956
2661.0,0,16,881.0,1034,959
2665.0,0,15,789.0,1035,962
2669.0,0,16,794.0,1037,964
2673.0,0,11,668.0,1037,967
2677.0,0,9,562.0,1039,969
2681.0,0,11,532.0,1041,972
2685.0,0,12,498.0,1042,974
2689.0,0,7,305.0,1044,977
2693.0,0,11,286.0,1046,979
2697.0,0,13,334.0,1048,980
2701.0,0,17,391.0,1049,983
2705.0,0,20,462.0,1049,984
2709.0,0,23,552.0,1049,987
2713.0,0,24,649.0,1049,987
2717.0,0,27,726.0,1049,987
2721.0,0,30,840.0,1050,987
2725.0,0,32,910.0,1050,987
2729.0,0,34,950.0,1050,989
2733.0,0,32,939.0,1050,991
2737.0,0,32,934.0,1053,993
2741.0,0,29,965.0,1056,993
2745.0,0,27,993.0,1059,993
2749.0,0,25,957.0,1061,993
2753.0,0,23,1017.0,1064,993
2757.0,0,23,939.0,1067,994
2761.0,0,22,916.0,1069,995
2765.0,0,25,984.0,1073,996
2769.0,0,25,996.0,1075,997
2773.0,0,23,925.0,1077,999
2777.0,0,20,1001.0,1078,1001
2781.0,0,16,976.0,1079,1003
2785.0,0,13,961.0,1080,1006
2789.0,0,12,769.0,1081,1008
2793.0,0,8,637.0,1083,1011
2797.0,0,12,636.0,1085,1013
2801.0,0,14,651.0,1086,1017
2805.0,0,11,530.0,1086,1018
2809.0,0,11,441.0,1088,1020
2813.0,0,13,471.0,1091,1022
2817.0,0,15,517.0,1093,1024
2821.0,0,19,580.0,1093,1026
2825.0,0,22,657.0,1093,1027
2829.0,0,24,751.0,1093,1029
2833.0,0,26,860.0,1094,1029
2837.0,0,28,862.0,1095,1029
2841.0,0,35,996.0,1096,1029
2845.0,0,29,966.0,1096,1029
2849.0,0,32,892.0,1096,1032
2853.0,0,29,909.0,1098,1035
2857.0,0,27,905.0,1101,1036
2861.0,0,27,919.0,1104,1036
2865.0,0,23,888.0,1106,1036
2869.0,0,24,877.0,1109,1037
2873.0,0,21,867.0,1111,1037
2877.0,0,21,863.0,1115,1039
2881.0,0,24,897.0,1117,1042
2885.0,0,25,1015.0,1120,1042
2889.0,0,21,920.0,1122,1042
2893.0,0,16,884.0,1124,1044
2897.0,0,15,866.0,1126,1047
2901.0,0,12,798.0,1127,1050
2905.0,0,10,690.0,1128,1052
2909.0,0,9,543.0,1129,1055
2913.0,0,9,494.0,1131,1057
2917.0,0,10,473.0,1132,1060
2921.0,0,11,442.0,1133,1062
2925.0,0,8,366.0,1133,1064
2929.0,0,9,338.0,1135,1066
2933.0,0,11,363.0,1138,1067
2937.0,0,15,403.0,1138,1070
2941.0,0,18,463.0,1140,1072
2945.0,0,23,549.0,1140,1074
2949.0,0,24,647.0,1140,1074
2953.0,0,26,698.0,1140,1074
2957.0,0,30,787.0,1141,1074
2961.0,0,30,763.0,1142,1074
2965.0,0,30,827.0,1143,1075
2969.0,0,30,797.0,1143,1079
2973.0,0,28,817.0,1145,1080
2977.0,0,25,771.0,1149,1081
2981.0,0,23,766.0,1151,1081
2985.0,0,22,741.0,1154,1081
2989.0,0,25,778.0,1157,1081
2993.0,0,22,783.0,1160,1081
2997.0,0,23,796.0,1163,1083
3001.0,0,25,849.0,1166,1084
3005.0,0,27,898.0,1169,1085
3009.0,0,20,869.0,1171,1086
3013.0,0,14,821.0,1172,1089
3017.0,0,14,707.0,1173,1091
3021.0,0,13,680.0,1175,1095
3025.0,0,12,490.0,1176,1097
3029.0,0,10,434.0,1178,1099
3033.0,0,13,381.0,1180,1103
3037.0,0,13,395.0,1181,1105
3041.0,0,13,299.0,1181,1107
3045.0,0,13,270.0,1183,1109
3049.0,0,13,295.0,1185,1111
3053.0,0,15,346.0,1187,1112
3057.0,0,19,413.0,1188,1114
3061.0,0,22,494.0,1188,1116
3065.0,0,25,588.0,1188,1118
3069.0,0,27,648.0,1188,1118
3073.0,0,27,724.0,1189,1118
3077.0,0,33,847.0,1190,1118
3081.0,0,31,841.0,1190,1118
3085.0,0,33,823.0,1190,1122
3089.0,0,31,837.0,1192,1124
3093.0,0,26,863.0,1194,1125
3097.0,0,26,823.0,1197,1125
3101.0,0,21,850.0,1200,1125
3105.0,0,22,879.0,1202,1125
3109.0,0,20,783.0,1205,1125
3113.0,0,21,828.0,1208,1127
3117.0,0,23,854.0,1211,1128
3121.0,0,27,925.0,1214,1130
3125.0,0,24,887.0,1217,1130
3129.0,0,21,866.0,1218,1132
3133.0,0,16,842.0,1220,1135
3137.0,0,16,785.0,1221,1138
3141.0,0,14,771.0,1223,1140
3145.0,0,11,538.0,1223,1143
3149.0,0,10,483.0,1225,1147
3153.0,0,12,453.0,1227,1149
3157.0,0,13,468.0,1228,1151
3161.0,0,10,330.0,1229,1153
3165.0,0,12,295.0,1232,1154
3169.0,0,14,333.0,1234,1157
3173.0,0,15,386.0,1234,1158
3177.0,0,19,453.0,1234,1161
3181.0,0,21,531.0,1235,1162
3185.0,0,23,621.0,1235,1163
3189.0,0,24,630.0,1235,1163
3193.0,0,26,714.0,1237,1163
3197.0,0,30,676.0,1238,1163
3201.0,0,30,712.0,1238,1165
3205.0,0,28,712.0,1238,1167
3209.0,0,32,745.0,1240,1169
3213.0,0,28,791.0,1244,1170
3217.0,0,25,788.0,1246,1170
3221.0,0,22,811.0,1248,1170
3225.0,0,25,885.0,1251,1170
