step_time,step_stopped,step_wait_time,accumulated_wait_time
796.0,0,7.0,6243.0
797.0,0,7.0,6250.0
798.0,0,7.0,6257.0
799.0,0,5.0,6262.0
800.0,0,4.0,6266.0
801.0,0,4.0,6270.0
802.0,0,4.0,6274.0
803.0,0,4.0,6278.0
804.0,0,4.0,6282.0
805.0,0,4.0,6286.0
806.0,1,5.0,6291.0
807.0,0,5.0,6296.0
808.0,0,5.0,6301.0
809.0,0,5.0,6306.0
810.0,0,4.0,6310.0
811.0,0,4.0,6314.0
812.0,0,4.0,6318.0
813.0,0,4.0,6322.0
814.0,0,4.0,6326.0
815.0,0,4.0,6330.0
816.0,0,4.0,6334.0
817.0,0,4.0,6338.0
818.0,1,5.0,6343.0
819.0,0,5.0,6348.0
820.0,0,4.0,6352.0
821.0,1,5.0,6357.0
822.0,0,5.0,6362.0
823.0,1,6.0,6368.0
824.0,0,6.0,6374.0
825.0,0,6.0,6380.0
826.0,2,8.0,6388.0
827.0,1,8.0,6396.0
828.0,0,7.0,6403.0
829.0,2,9.0,6412.0
830.0,1,9.0,6421.0
831.0,1,10.0,6431.0
832.0,1,11.0,6442.0
833.0,0,11.0,6453.0
834.0,0,11.0,6464.0
835.0,0,11.0,6475.0
836.0,0,10.0,6485.0
837.0,1,11.0,6496.0
838.0,0,11.0,6507.0
839.0,0,10.0,6517.0
840.0,2,12.0,6529.0
841.0,0,12.0,6541.0
842.0,0,11.0,6552.0
843.0,0,11.0,6563.0
844.0,0,11.0,6574.0
845.0,2,13.0,6587.0
846.0,0,13.0,6600.0
847.0,0,13.0,6613.0
848.0,0,13.0,6626.0
849.0,0,13.0,6639.0
850.0,0,13.0,6652.0
851.0,0,13.0,6665.0
852.0,0,13.0,6678.0
853.0,0,13.0,6691.0
854.0,0,13.0,6704.0
855.0,1,14.0,6718.0
856.0,0,14.0,6732.0
857.0,0,14.0,6746.0
858.0,1,15.0,6761.0
859.0,0,14.0,6775.0
860.0,0,14.0,6789.0
861.0,1,15.0,6804.0
862.0,0,15.0,6819.0
863.0,0,15.0,6834.0
864.0,0,15.0,6849.0
865.0,0,15.0,6864.0
866.0,0,15.0,6879.0
867.0,0,15.0,6894.0
868.0,0,15.0,6909.0
869.0,0,15.0,6924.0
870.0,1,16.0,6940.0
871.0,1,11.0,6951.0
872.0,0,9.0,6960.0
873.0,1,8.0,6968.0
874.0,0,6.0,6974.0
875.0,1,7.0,6981.0
876.0,1,8.0,6989.0
877.0,0,8.0,6997.0
878.0,0,8.0,7005.0
879.0,0,8.0,7013.0
880.0,0,8.0,7021.0
881.0,1,9.0,7030.0
882.0,0,8.0,7038.0
883.0,0,8.0,7046.0
884.0,1,9.0,7055.0
885.0,0,9.0,7064.0
886.0,0,9.0,7073.0
887.0,0,9.0,7082.0
888.0,0,9.0,7091.0
889.0,1,10.0,7101.0
890.0,0,10.0,7111.0
891.0,0,10.0,7121.0
892.0,0,10.0,7131.0
893.0,0,10.0,7141.0
894.0,1,11.0,7152.0
895.0,0,11.0,7163.0
896.0,0,11.0,7174.0
897.0,0,11.0,7185.0
898.0,0,11.0,7196.0
899.0,1,12.0,7208.0
900.0,0,12.0,7220.0
901.0,0,12.0,7232.0
902.0,0,12.0,7244.0
903.0,0,12.0,7256.0
904.0,0,8.0,7264.0
905.0,1,6.0,7270.0
906.0,0,3.0,7273.0
907.0,0,3.0,7276.0
908.0,0,3.0,7279.0
909.0,0,3.0,7282.0
910.0,0,3.0,7285.0
911.0,0,3.0,7288.0
912.0,0,3.0,7291.0
913.0,0,3.0,7294.0
914.0,0,3.0,7297.0
915.0,0,3.0,7300.0
916.0,0,3.0,7303.0
917.0,0,3.0,7306.0
918.0,0,3.0,7309.0
919.0,0,3.0,7312.0
920.0,0,3.0,7315.0
921.0,0,3.0,7318.0
922.0,0,3.0,7321.0
923.0,1,4.0,7325.0
924.0,1,5.0,7330.0
925.0,0,5.0,7335.0
926.0,0,5.0,7340.0
927.0,0,5.0,7345.0
928.0,0,5.0,7350.0
929.0,0,5.0,7355.0
930.0,0,5.0,7360.0
931.0,0,5.0,7365.0
932.0,0,5.0,7370.0
